linear_entry	working_name	status	ghidra_entry	ghidra_name	source
00000	entry	verified-role	1000:0000	entry	src/functions/00/00000_entry.asm
00089	func_00089	unidentified	1000:0089	FUN_1000_0089	src/functions/00/00089_func_00089.asm
000D1	standalone_vdx_or_diagnostics	verified-role	1000:00d1	FUN_1000_00d1	src/functions/00/000d1_standalone_vdx_or_diagnostics.asm
001E1	func_001e1	unidentified	1000:01e1	FUN_1000_01e1	src/functions/01/001e1_func_001e1.asm
0020A	func_0020a	unidentified	1000:020a	FUN_1000_020a	src/functions/02/0020a_func_0020a.asm
0021B	func_0021b	unidentified	1000:021b	FUN_1000_021b	src/functions/02/0021b_func_0021b.asm
002C0	func_002c0	unidentified	1000:02c0	FUN_1000_02c0	src/functions/02/002c0_func_002c0.asm
0030E	func_0030e	unidentified	1000:030e	FUN_1000_030e	src/functions/03/0030e_func_0030e.asm
0040D	func_0040d	unidentified	1000:040d	FUN_1000_040d	src/functions/04/0040d_func_0040d.asm
00476	func_00476	unidentified	1000:0476	FUN_1000_0476	src/functions/04/00476_func_00476.asm
00501	func_00501	unidentified	1000:0501	FUN_1000_0501	src/functions/05/00501_func_00501.asm
00587	decode_vdx_bitmap_still	verified-role	1000:0587	FUN_1000_0587	src/functions/05/00587_decode_vdx_bitmap_still.asm
00F33	func_00f33	unidentified	1000:0f33	FUN_1000_0f33	src/functions/0f/00f33_func_00f33.asm
00FC6	func_00fc6	unidentified	1000:0fc6	FUN_1000_0fc6	src/functions/0f/00fc6_func_00fc6.asm
0105A	decode_vdx_delta_frame	verified-role	1000:105a	FUN_1000_105a	src/functions/10/0105a_decode_vdx_delta_frame.asm
0230F	func_0230f	unidentified	1000:230f	FUN_1000_230f	src/functions/23/0230f_func_0230f.asm
0236A	func_0236a	unidentified	1000:236a	FUN_1000_236a	src/functions/23/0236a_func_0236a.asm
023A5	copy_rect_to_background	verified-role	1000:23a5	FUN_1000_23a5	src/functions/23/023a5_copy_rect_to_background.asm
02591	copy_background_to_foreground	verified-role	1000:2591	FUN_1000_2591	src/functions/25/02591_copy_background_to_foreground.asm
026E5	func_026e5	unidentified	1000:26e5	FUN_1000_26e5	src/functions/26/026e5_func_026e5.asm
0276D	func_0276d	unidentified	1000:276d	FUN_1000_276d	src/functions/27/0276d_func_0276d.asm
02822	func_02822	unidentified	1000:2822	FUN_1000_2822	src/functions/28/02822_func_02822.asm
0285D	func_0285d	unidentified	1000:285d	FUN_1000_285d	src/functions/28/0285d_func_0285d.asm
02896	func_02896	unidentified	1000:2896	FUN_1000_2896	src/functions/28/02896_func_02896.asm
028AD	func_028ad	unidentified	1000:28ad	FUN_1000_28ad	src/functions/28/028ad_func_028ad.asm
0293B	func_0293b	unidentified	1000:293b	FUN_1000_293b	src/functions/29/0293b_func_0293b.asm
02997	stream_media_buffer	verified-role	1000:2997	FUN_1000_2997	src/functions/29/02997_stream_media_buffer.asm
02C32	func_02c32	unidentified	1000:2c32	FUN_1000_2c32	src/functions/2c/02c32_func_02c32.asm
02D50	func_02d50	unidentified	1000:2d50	FUN_1000_2d50	src/functions/2d/02d50_func_02d50.asm
02D5A	func_02d5a	unidentified	1000:2d5a	FUN_1000_2d5a	src/functions/2d/02d5a_func_02d5a.asm
02F6A	func_02f6a	unidentified	1000:2f6a	FUN_1000_2f6a	src/functions/2f/02f6a_func_02f6a.asm
02F84	detect_video_hardware	verified-role	1000:2f84	FUN_1000_2f84	src/functions/2f/02f84_detect_video_hardware.asm
033B7	func_033b7	unidentified	1000:33b7	FUN_1000_33b7	src/functions/33/033b7_func_033b7.asm
