entry	working_name	status	ghidra_name	source
00401000	func_00401000	unidentified	FUN_00401000	src/functions/10/00401000_func_00401000.asm
00401161	func_00401161	unidentified	FUN_00401161	src/functions/11/00401161_func_00401161.asm
004011A3	func_004011a3	unidentified	FUN_004011a3	src/functions/11/004011a3_func_004011a3.asm
00401202	init_resource_catalog	verified-role	FUN_00401202	src/functions/12/00401202_init_resource_catalog.asm
0040136E	func_0040136e	unidentified	FUN_0040136e	src/functions/13/0040136e_func_0040136e.asm
00401449	grv_read_u8	verified-role	FUN_00401449	src/functions/14/00401449_grv_read_u8.asm
00401473	grv_read_u16_le	verified-role	FUN_00401473	src/functions/14/00401473_grv_read_u16_le.asm
004014CB	grv_read_u32_le	verified-role	FUN_004014cb	src/functions/14/004014cb_grv_read_u32_le.asm
00401572	func_00401572	unidentified	FUN_00401572	src/functions/15/00401572_func_00401572.asm
004015BF	func_004015bf	unidentified	FUN_004015bf	src/functions/15/004015bf_func_004015bf.asm
004015E6	func_004015e6	unidentified	FUN_004015e6	src/functions/15/004015e6_func_004015e6.asm
0040179B	func_0040179b	unidentified	FUN_0040179b	src/functions/17/0040179b_func_0040179b.asm
004017EE	func_004017ee	unidentified	FUN_004017ee	src/functions/17/004017ee_func_004017ee.asm
00401833	func_00401833	unidentified	FUN_00401833	src/functions/18/00401833_func_00401833.asm
00401BB3	func_00401bb3	unidentified	FUN_00401bb3	src/functions/1b/00401bb3_func_00401bb3.asm
00401BFD	func_00401bfd	unidentified	FUN_00401bfd	src/functions/1b/00401bfd_func_00401bfd.asm
00401C55	func_00401c55	unidentified	FUN_00401c55	src/functions/1c/00401c55_func_00401c55.asm
00401C99	func_00401c99	unidentified	FUN_00401c99	src/functions/1c/00401c99_func_00401c99.asm
00401CDD	func_00401cdd	unidentified	FUN_00401cdd	src/functions/1c/00401cdd_func_00401cdd.asm
00401D3A	func_00401d3a	unidentified	FUN_00401d3a	src/functions/1d/00401d3a_func_00401d3a.asm
00401F5F	func_00401f5f	unidentified	FUN_00401f5f	src/functions/1f/00401f5f_func_00401f5f.asm
00402067	func_00402067	unidentified	FUN_00402067	src/functions/20/00402067_func_00402067.asm
004020E7	func_004020e7	unidentified	FUN_004020e7	src/functions/20/004020e7_func_004020e7.asm
00402172	func_00402172	unidentified	FUN_00402172	src/functions/21/00402172_func_00402172.asm
004021D1	run_grv_vm	verified-role	FUN_004021d1	src/functions/21/004021d1_run_grv_vm.asm
